"ds","y"
"2022-04-26",8.00269416228394
"2022-04-27",8.07309119969315
"2022-04-28",7.98309894071089
"2022-04-29",7.84619881549743
"2022-04-30",7.78655180642871
"2022-05-01",7.44483327389219
"2022-05-02",7.5422134631934
"2022-05-03",7.6425241342329
"2022-05-04",7.6511201757027
"2022-05-05",7.51152464839087
"2022-05-06",7.67693714581808
"2022-05-07",7.9912539298402
"2022-05-08",7.44190672805162
"2022-05-09",7.38398945797851
"2022-05-10",7.60589000105312
"2022-05-11",7.58680353516258
"2022-05-12",7.62119516280984
"2022-05-13",7.29573507274928
"2022-05-14",7.48885295573346
"2022-05-15",7.27309259599952
"2022-05-16",7.34665516317654
"2022-05-17",7.47363710849621
"2022-05-18",7.35564110297425
"2022-05-19",7.2283884515736
"2022-05-20",7.39694860262101
"2022-05-21",7.47533923656674
"2022-05-22",7.40974195408092
"2022-05-23",7.34601020991329
"2022-05-24",7.4079243225596
"2022-05-25",7.38398945797851
"2022-05-26",7.38087903556412
"2022-05-27",7.20637729147225
"2022-05-28",7.09340462586877
"2022-05-29",7.10987946307227
"2022-05-30",7.05531284333975
"2022-05-31",7.11639414409346
"2022-06-01",7.19218205871325
"2022-06-02",7.24921505711439
"2022-06-03",7.41938058291869
"2022-06-04",7.56216163122565
"2022-06-05",7.43307534889858
"2022-06-06",7.28550654852279
"2022-06-07",7.9355873855892
"2022-06-08",9.01954299670119
"2022-06-09",7.22548147278229
"2022-06-10",7.02731451403978
"2022-06-11",6.7990558620588
"2022-06-12",5.44673737166631
"2022-06-13",5.32300997913841
"2022-06-14",5.26269018890489
"2022-06-15",6.30627528694802
"2022-06-16",6.65286302935335
"2022-06-17",7.21964204013074
"2022-06-18",7.38832785957711
"2022-06-19",7.13886699994552
"2022-06-20",7.04315991598834
"2022-06-21",7.20637729147225
"2022-06-22",7.02997291170639
"2022-06-23",7.00760061395185
"2022-06-24",6.91869521902047
"2022-06-25",6.88448665204278
"2022-06-27",6.13772705408623
"2022-06-29",7.20637729147225
"2022-06-30",7.13727843726039
"2022-07-01",7.05444965813294
"2022-07-02",7.11232744471091
"2022-07-03",6.92657703322272
"2022-07-04",6.81454289725996
"2022-07-06",7.35500192110526
"2022-07-11",7.13169851046691
"2022-07-12",7.07749805356923
"2022-07-13",7.24208235925696
"2022-07-14",7.24708058458576
"2022-07-15",7.646353722446
"2022-07-16",7.45645455517621
"2022-07-17",7.30988148582479
